captured_utc,captured_lima,fecha_visita,inicio_venta,turnos_disponibles,turnos_entregados,ruta,aforo,vendidos,disponibles
2026-09-25T07:45:57+00:00,2026-09-25T02:45:57-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-A: Montaña Waynapicchu,50,36,14
2026-09-25T07:45:57+00:00,2026-09-25T02:45:57-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-B: Realeza diseñada,100,2,98
2026-09-25T08:01:21+00:00,2026-09-25T03:01:21-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T08:01:21+00:00,2026-09-25T03:01:21-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-B: Terraza superior,100,1,99
2026-09-25T08:01:21+00:00,2026-09-25T03:01:21-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-A: Clásico Diseñada,600,413,187
2026-09-25T08:01:21+00:00,2026-09-25T03:01:21-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-B: Terraza Inferior,100,65,35
2026-09-25T08:01:21+00:00,2026-09-25T03:01:21-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-A: Montaña Waynapicchu,50,36,14
2026-09-25T08:01:21+00:00,2026-09-25T03:01:21-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-B: Realeza diseñada,100,2,98
2026-09-25T09:01:18+00:00,2026-09-25T04:01:18-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T09:01:18+00:00,2026-09-25T04:01:18-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-B: Terraza superior,100,1,99
2026-09-25T09:01:18+00:00,2026-09-25T04:01:18-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-A: Clásico Diseñada,600,413,187
2026-09-25T09:01:18+00:00,2026-09-25T04:01:18-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-B: Terraza Inferior,100,65,35
2026-09-25T09:01:18+00:00,2026-09-25T04:01:18-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-A: Montaña Waynapicchu,50,36,14
2026-09-25T09:01:18+00:00,2026-09-25T04:01:18-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-B: Realeza diseñada,100,2,98
2026-09-25T09:08:50+00:00,2026-09-25T04:08:50-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T09:08:50+00:00,2026-09-25T04:08:50-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-B: Terraza superior,100,1,99
2026-09-25T09:08:50+00:00,2026-09-25T04:08:50-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-A: Clásico Diseñada,600,413,187
2026-09-25T09:08:50+00:00,2026-09-25T04:08:50-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-B: Terraza Inferior,100,65,35
2026-09-25T09:08:50+00:00,2026-09-25T04:08:50-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-A: Montaña Waynapicchu,50,36,14
2026-09-25T09:08:50+00:00,2026-09-25T04:08:50-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-B: Realeza diseñada,100,2,98
2026-09-25T09:16:37+00:00,2026-09-25T04:16:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T09:16:37+00:00,2026-09-25T04:16:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-B: Terraza superior,100,1,99
2026-09-25T09:16:37+00:00,2026-09-25T04:16:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-A: Clásico Diseñada,600,413,187
2026-09-25T09:16:37+00:00,2026-09-25T04:16:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-B: Terraza Inferior,100,65,35
2026-09-25T09:16:37+00:00,2026-09-25T04:16:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-A: Montaña Waynapicchu,50,36,14
2026-09-25T09:16:37+00:00,2026-09-25T04:16:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-B: Realeza diseñada,100,2,98
2026-09-25T09:46:13+00:00,2026-09-25T04:46:13-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T09:46:13+00:00,2026-09-25T04:46:13-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-B: Terraza superior,100,1,99
2026-09-25T09:46:13+00:00,2026-09-25T04:46:13-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-A: Clásico Diseñada,600,413,187
2026-09-25T09:46:13+00:00,2026-09-25T04:46:13-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-B: Terraza Inferior,100,65,35
2026-09-25T09:46:13+00:00,2026-09-25T04:46:13-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-A: Montaña Waynapicchu,50,36,14
2026-09-25T09:46:13+00:00,2026-09-25T04:46:13-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-B: Realeza diseñada,100,2,98
2026-09-25T10:01:37+00:00,2026-09-25T05:01:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T10:01:37+00:00,2026-09-25T05:01:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-B: Terraza superior,100,1,99
2026-09-25T10:01:37+00:00,2026-09-25T05:01:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-A: Clásico Diseñada,600,413,187
2026-09-25T10:01:37+00:00,2026-09-25T05:01:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 2-B: Terraza Inferior,100,65,35
2026-09-25T10:01:37+00:00,2026-09-25T05:01:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-A: Montaña Waynapicchu,50,36,14
2026-09-25T10:01:37+00:00,2026-09-25T05:01:37-05:00,2026-09-26,06:00 AM,473,527,Ruta 3-B: Realeza diseñada,100,2,98
2026-09-25T10:16:12+00:00,2026-09-25T05:16:12-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-A: Montaña Machupicchu,50,1,49
2026-09-25T10:16:12+00:00,2026-09-25T05:16:12-05:00,2026-09-26,06:00 AM,473,527,Ruta 1-B: Terraza superior,100,1,99
